Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,0.599,0.775,0.745
Pos2_Unpaired,0.395,0.688,0.409
Pos3_Unpaired,0.036,0.367,0.112
Pos4_Paired-Opening,0.844,0.844,0.844
Pos5_Unpaired,0.424,0.755,0.592
Pos6_Unpaired,0.191,0.748,0.325
Pos7_Paired-Opening,0.147,0.405,0.322
Pos8_Unpaired,0.149,0.587,0.4
Pos9_Unpaired,0.787,0.792,0.792
Pos11_Paired-Opening,0.528,0.756,0.691
Pos11_Paired-Closing,0.155,0.278,0.213
Pos12_Unpaired,0.152,0.357,0.235
Pos13_Paired-Closing,0.041,0.244,0.07
Pos14_Paired-Opening,0.806,0.86,0.852
Pos14_Paired-Closing,0.161,0.281,0.229
Pos15_Paired-Opening,0.314,0.595,0.449
Pos16_Unpaired,0.081,0.354,0.203
Pos18_Paired-Opening,0.001,0.32,0.144
Pos20_Paired-Opening,0.426,0.697,0.575
Pos20_Paired-Closing,0.157,0.534,0.443
Pos21_Paired-Closing,0.142,0.479,0.299
Pos22_Unpaired,0.053,0.215,0.161
Pos23_Unpaired,0.352,0.436,0.414
Pos24_Unpaired,0.408,0.502,0.487
Pos25_Unpaired,0.377,0.431,0.402
Pos26_Unpaired,0.172,0.433,0.324
Pos27_Paired-Opening,0.125,0.554,0.293
Pos29_Paired-Opening,0.083,0.326,0.19
Pos29_Paired-Closing,0.422,0.43,0.43
Pos31_Paired-Closing,0.316,0.436,0.347
Pos33_Unpaired,0.286,0.286,0.286
Pos34_Unpaired,0.265,0.265,0.265
Pos35_Unpaired,0.122,0.122,0.122
Pos36_Unpaired,0.229,0.265,0.265
Pos40_Paired-Opening,0.554,0.592,0.592
Pos41_Unpaired,0.605,0.605,0.605
Pos42_Unpaired,0.332,0.605,0.534
Pos43_Unpaired,0.613,0.613,0.613
Pos44_Paired-Closing,0.505,0.614,0.569
Pos45_Unpaired,0.23,0.23,0.23
Pos46_Unpaired,0.626,0.685,0.656
Pos49_Unpaired,0.331,0.402,0.401
Pos50_Paired-Closing,0.504,0.603,0.558
Pos52_Unpaired,0.765,0.765,0.765
Pos56_Paired-Closing,0.861,0.862,0.862
Pos57_Paired-Closing,0.458,0.706,0.542
Pos58_Unpaired,0.252,0.692,0.499
Pos59_Unpaired,0.463,0.642,0.571
Pos60_Paired-Closing,0.497,0.707,0.57
Pos61_Unpaired,0.675,0.675,0.675
Pos62_Paired-Closing,0.803,0.803,0.803
Pos63_Paired-Closing,0.82,0.846,0.845
Pos64_Unpaired,0.332,0.823,0.795
Pos66_Unpaired,0.844,0.85,0.849
Pos67_Unpaired,0.832,0.854,0.85
Pos69_Paired-Opening,0.292,0.661,0.48
Pos70_Unpaired,0.265,0.265,0.265
Pos70_Paired-Opening,0.351,0.8,0.719
Pos71_Unpaired,0.275,0.388,0.388
Pos71_Paired-Opening,0.047,0.841,0.725
Pos72_Paired-Opening,0.486,0.839,0.733
Pos72_Paired-Closing,0.77,0.788,0.784
Pos73_Paired-Closing,0.65,0.651,0.651
Pos74_Unpaired,0.15,0.266,0.237
Pos77_Paired-Closing,0.269,0.781,0.729
Pos78_Paired-Closing,0.562,0.828,0.802
Pos79_Paired-Closing,0.706,0.833,0.826
Pos80_Paired-Closing,0.036,0.822,0.653
Pos81_Paired-Opening,0.054,0.217,0.117
Pos83_Paired-Closing,0.173,0.173,0.173
Pos84_Unpaired,0.139,0.217,0.204
Pos85_Paired-Closing,0.182,0.217,0.217
Pos86_Paired-Closing,0.197,0.217,0.217
Pos89_Unpaired,0.101,0.134,0.134
Pos92_Unpaired,0.172,0.173,0.173
Pos93_Unpaired,0.173,0.173,0.173
Pos96_Unpaired,0.147,0.173,0.173
Pos97_Paired-Closing,0.078,0.173,0.157
