Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,0.281,0.281,0.281
Pos2_Paired-Opening,0.335,0.335,0.335
Pos3_Paired-Opening,0.377,0.377,0.377
Pos4_Paired-Opening,0.424,0.424,0.424
Pos5_Paired-Opening,0.343,0.421,0.421
Pos6_Paired-Opening,0.728,0.728,0.728
Pos7_Paired-Opening,0.694,0.694,0.694
Pos8_Paired-Opening,0.664,0.682,0.682
Pos9_Paired-Opening,0.522,0.659,0.565
Pos10_Paired-Opening,0.527,0.618,0.574
Pos11_Paired-Opening,0.147,0.604,0.487
Pos12_Paired-Opening,0.49,0.72,0.72
Pos13_Paired-Opening,0.698,0.709,0.709
Pos15_Paired-Opening,0.546,0.751,0.751
Pos15_Paired-Closing,0.399,0.809,0.8
Pos16_Paired-Opening,0.582,0.727,0.727
Pos16_Paired-Closing,0.358,0.809,0.621
Pos18_Paired-Closing,0.106,0.721,0.326
Pos19_Unpaired,0.611,0.617,0.617
Pos19_Paired-Closing,0.057,0.672,0.162
Pos20_Unpaired,0.746,0.746,0.746
Pos21_Unpaired,0.569,0.845,0.836
Pos22_Paired-Opening,0.288,0.817,0.6
Pos24_Unpaired,0.407,0.857,0.759
Pos28_Paired-Opening,0.044,0.571,0.17
Pos29_Unpaired,0.69,0.856,0.842
Pos30_Unpaired,0.584,0.841,0.666
Pos33_Unpaired,0.662,0.855,0.762
Pos36_Paired-Closing,0.062,0.811,0.575
Pos39_Unpaired,0.646,0.853,0.853
Pos40_Unpaired,0.184,0.77,0.77
