Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,0.627,0.733,0.658
Pos3_Paired-Opening,0.822,0.856,0.84
Pos4_Paired-Opening,0.677,0.854,0.85
Pos5_Paired-Opening,0.811,0.838,0.824
Pos6_Paired-Opening,0.838,0.838,0.838
Pos7_Paired-Opening,0.811,0.811,0.811
Pos8_Paired-Opening,0.81,0.81,0.81
Pos9_Paired-Opening,0.806,0.806,0.806
Pos10_Paired-Opening,0.799,0.801,0.8
Pos11_Paired-Opening,0.314,0.682,0.521
Pos12_Paired-Opening,0.582,0.762,0.636
Pos13_Paired-Opening,0.767,0.768,0.768
Pos14_Paired-Opening,0.709,0.709,0.709
Pos15_Paired-Opening,0.75,0.75,0.75
Pos16_Paired-Opening,0.735,0.738,0.738
Pos17_Paired-Opening,0.77,0.77,0.77
Pos17_Paired-Closing,0.179,0.643,0.357
Pos18_Paired-Opening,0.758,0.763,0.762
Pos19_Paired-Opening,0.798,0.802,0.802
Pos20_Paired-Opening,0.86,0.86,0.86
