Feature,Q1,Q3,Median Spearman Correlation
Pos2_Unpaired,-0.664,-0.075,-0.458
Pos4_Unpaired,-0.636,-0.511,-0.61
Pos5_Unpaired,-0.745,-0.654,-0.725
Pos6_Unpaired,-0.577,-0.175,-0.435
Pos8_Unpaired,-0.594,-0.27,-0.388
Pos8_Paired-Opening,-0.487,-0.244,-0.398
Pos9_Paired-Opening,-0.628,-0.574,-0.61
Pos10_Paired-Opening,-0.226,-0.042,-0.09
Pos11_Unpaired,-0.671,-0.578,-0.628
Pos12_Unpaired,-0.698,-0.454,-0.504
Pos13_Unpaired,-0.695,-0.429,-0.604
Pos14_Paired-Closing,-0.464,-0.164,-0.334
Pos15_Paired-Opening,-1.0,-0.333,-1.0
Pos15_Paired-Closing,-0.473,-0.216,-0.338
Pos16_Unpaired,-0.274,-0.074,-0.221
Pos17_Unpaired,-0.747,-0.656,-0.703
Pos19_Unpaired,-0.174,-0.005,-0.096
Pos20_Unpaired,-0.601,-0.348,-0.558
Pos21_Paired-Closing,-0.508,-0.508,-0.508
