Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,0.464,0.464,0.464
Pos1_Paired-Closing,1.0,1.0,1.0
Pos2_Unpaired,0.372,0.411,0.408
Pos3_Unpaired,0.305,0.305,0.305
Pos3_Paired-Closing,1.0,1.0,1.0
Pos4_Unpaired,0.323,0.323,0.323
Pos5_Unpaired,0.3,0.3,0.3
Pos6_Unpaired,0.249,0.249,0.249
Pos7_Unpaired,0.271,0.271,0.271
Pos8_Unpaired,0.26,0.26,0.26
Pos9_Unpaired,1.0,1.0,1.0
Pos10_Unpaired,0.265,0.265,0.265
Pos11_Unpaired,0.271,0.291,0.291
Pos12_Unpaired,0.867,1.0,1.0
Pos13_Unpaired,0.249,0.249,0.249
Pos14_Unpaired,1.0,1.0,1.0
Pos15_Unpaired,0.196,0.196,0.196
Pos16_Unpaired,0.281,0.281,0.281
Pos17_Unpaired,0.237,0.237,0.237
Pos18_Unpaired,0.213,0.319,0.291
Pos19_Unpaired,0.363,0.363,0.363
Pos20_Unpaired,0.304,0.398,0.349
