Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,-0.37,-0.37,-0.37
Pos2_Unpaired,-0.364,-0.043,-0.256
Pos3_Unpaired,-0.501,-0.501,-0.501
Pos4_Paired-Opening,-0.418,-0.065,-0.308
Pos6_Unpaired,-0.661,-0.283,-0.63
Pos7_Unpaired,-0.561,-0.413,-0.525
Pos9_Paired-Opening,-0.591,-0.087,-0.531
Pos10_Paired-Opening,-0.455,-0.374,-0.418
Pos11_Unpaired,-0.387,-0.257,-0.33
Pos12_Unpaired,-0.326,-0.035,-0.265
Pos13_Paired-Opening,-0.564,-0.497,-0.555
Pos14_Paired-Opening,-0.663,-0.63,-0.653
Pos15_Paired-Opening,-0.69,-0.634,-0.68
Pos16_Paired-Closing,-0.749,-0.653,-0.7
Pos17_Paired-Closing,-0.728,-0.212,-0.684
Pos18_Unpaired,-0.531,-0.436,-0.486
Pos19_Unpaired,-0.538,-0.521,-0.537
Pos20_Paired-Closing,-0.726,-0.698,-0.718
Pos21_Unpaired,-0.573,-0.285,-0.48
Pos22_Paired-Opening,-0.703,-0.082,-0.373
Pos22_Paired-Closing,-0.433,-0.401,-0.417
Pos23_Unpaired,-0.515,-0.19,-0.409
Pos24_Paired-Opening,-0.742,-0.303,-0.591
Pos25_Unpaired,-0.574,-0.216,-0.386
Pos25_Paired-Opening,-0.671,-0.315,-0.423
Pos26_Unpaired,-0.857,-0.564,-0.825
Pos27_Unpaired,-0.691,-0.12,-0.345
Pos28_Paired-Opening,-0.804,-0.777,-0.803
Pos29_Paired-Opening,-0.747,-0.571,-0.679
Pos30_Unpaired,-0.757,-0.659,-0.693
Pos32_Paired-Opening,-0.305,-0.075,-0.205
Pos34_Paired-Closing,-0.79,-0.563,-0.628
Pos35_Paired-Closing,-0.82,-0.722,-0.761
Pos36_Unpaired,-0.844,-0.621,-0.762
Pos37_Unpaired,-0.827,-0.13,-0.517
Pos40_Paired-Closing,-0.856,-0.752,-0.829
Pos41_Unpaired,-0.773,-0.631,-0.692
Pos42_Unpaired,-0.724,-0.571,-0.697
