Struct,Position,Computed_Spearman,Sign
C,1,0.0,zero
O,1,0.37,positive
U,1,-0.37,negative
C,2,0.0,zero
O,2,0.0,zero
U,2,-0.256,negative
C,3,0.0,zero
O,3,0.501,positive
U,3,-0.501,negative
C,4,0.0,zero
O,4,-0.308,negative
U,4,0.0,zero
C,5,0.0,zero
O,5,0.0,zero
U,5,0.0,zero
C,6,0.0,zero
O,6,0.6,positive
U,6,-0.63,negative
C,7,0.0,zero
O,7,0.0,zero
U,7,-0.525,negative
C,8,0.0,zero
O,8,0.0,zero
U,8,0.0,zero
C,9,0.0,zero
O,9,-0.531,negative
U,9,0.597,positive
C,10,0.0,zero
O,10,-0.418,negative
U,10,0.482,positive
C,11,0.0,zero
O,11,0.413,positive
U,11,-0.33,negative
C,12,0.0,zero
O,12,0.0,zero
U,12,-0.265,negative
C,13,0.0,zero
O,13,-0.555,negative
U,13,0.528,positive
C,14,0.0,zero
O,14,-0.653,negative
U,14,0.594,positive
C,15,0.0,zero
O,15,-0.68,negative
U,15,0.661,positive
C,16,-0.7,negative
O,16,0.0,zero
U,16,0.35,positive
C,17,-0.684,negative
O,17,0.094,positive
U,17,0.369,positive
C,18,0.0,zero
O,18,0.55,positive
U,18,-0.486,negative
C,19,0.0,zero
O,19,0.596,positive
U,19,-0.537,negative
C,20,-0.718,negative
O,20,0.371,positive
U,20,0.249,positive
C,21,0.0,zero
O,21,0.0,zero
U,21,-0.48,negative
C,22,-0.417,negative
O,22,-0.373,negative
U,22,0.832,positive
C,23,0.0,zero
O,23,0.0,zero
U,23,-0.409,negative
C,24,0.391,positive
O,24,-0.591,negative
U,24,0.0,zero
C,25,0.492,positive
O,25,-0.423,negative
U,25,-0.386,negative
C,26,0.341,positive
O,26,0.529,positive
U,26,-0.825,negative
C,27,0.265,positive
O,27,0.0,zero
U,27,-0.345,negative
C,28,0.0,zero
O,28,-0.803,negative
U,28,0.83,positive
C,29,0.612,positive
O,29,-0.679,negative
