Struct,Position,Computed_Spearman,Sign
C,1,-0.794,negative
O,1,0.0,zero
U,1,0.794,positive
C,2,-0.813,negative
O,2,0.0,zero
U,2,0.766,positive
C,3,0.62,positive
O,3,0.0,zero
U,3,-0.81,negative
C,4,0.771,positive
O,4,0.0,zero
U,4,-0.749,negative
C,5,0.0,zero
O,5,0.0,zero
U,5,0.0,zero
C,6,-0.714,negative
O,6,0.0,zero
U,6,0.701,positive
C,7,0.0,zero
O,7,0.0,zero
U,7,0.0,zero
C,8,-0.625,negative
O,8,0.0,zero
U,8,0.689,positive
C,9,-0.793,negative
O,9,-1.0,negative
U,9,0.792,positive
C,10,0.157,positive
O,10,0.211,positive
U,10,0.0,zero
C,11,0.826,positive
O,11,0.286,positive
U,11,-0.821,negative
C,12,0.0,zero
O,12,0.286,positive
U,12,-0.399,negative
C,13,-0.482,negative
O,13,0.286,positive
U,13,0.0,zero
C,14,0.846,positive
O,14,0.297,positive
U,14,-0.86,negative
C,15,0.844,positive
O,15,0.221,positive
U,15,-0.845,negative
C,16,0.777,positive
O,16,0.0,zero
U,16,0.0,zero
C,17,0.0,zero
O,17,0.0,zero
U,17,0.625,positive
C,18,0.493,positive
O,18,0.0,zero
U,18,-0.411,negative
C,19,0.849,positive
O,19,0.0,zero
U,19,-0.862,negative
C,20,0.851,positive
O,20,0.274,positive
U,20,-0.863,negative
C,21,0.0,zero
O,21,0.36,positive
U,21,0.0,zero
C,22,0.0,zero
O,22,0.0,zero
U,22,-0.236,negative
C,23,0.476,positive
O,23,0.436,positive
U,23,-0.32,negative
C,24,0.0,zero
O,24,0.0,zero
U,24,0.0,zero
C,25,0.0,zero
O,25,0.0,zero
U,25,0.0,zero
C,26,0.0,zero
O,26,0.0,zero
U,26,0.238,positive
C,27,0.0,zero
O,27,0.0,zero
U,27,0.0,zero
C,28,0.0,zero
O,28,0.0,zero
U,28,0.0,zero
C,29,0.0,zero
O,29,-0.228,negative
U,29,0.0,zero
C,30,0.491,positive
O,30,0.356,positive
U,30,-0.378,negative
C,31,0.542,positive
O,31,0.481,positive
U,31,-0.414,negative
C,32,0.383,positive
O,32,0.0,zero
U,32,0.0,zero
C,33,0.134,positive
O,33,-0.127,negative
U,33,0.0,zero
C,34,0.134,positive
O,34,0.0,zero
U,34,-0.068,negative
C,35,0.0,zero
O,35,-0.122,negative
U,35,0.098,positive
C,36,0.0,zero
O,36,-0.195,negative
U,36,0.142,positive
C,37,0.134,positive
O,37,0.0,zero
U,37,0.0,zero
C,38,0.134,positive
O,38,-0.33,negative
U,38,0.0,zero
C,39,0.0,zero
O,39,0.0,zero
U,39,0.0,zero
C,40,0.0,zero
O,40,0.0,zero
U,40,0.0,zero
C,41,-0.595,negative
O,41,-0.122,negative
U,41,0.605,positive
C,42,-0.596,negative
O,42,0.0,zero
U,42,0.605,positive
C,43,-0.596,negative
O,43,-0.172,negative
U,43,0.613,positive
C,44,-0.592,negative
O,44,0.616,positive
U,44,0.196,positive
C,45,-0.596,negative
O,45,0.473,positive
U,45,0.23,positive
C,46,0.0,zero
O,46,-0.666,negative
U,46,0.581,positive
C,47,0.0,zero
O,47,-0.582,negative
U,47,0.601,positive
C,48,0.0,zero
O,48,0.0,zero
U,48,0.388,positive
C,49,-0.596,negative
O,49,-0.685,negative
U,49,0.402,positive
C,50,-0.596,negative
O,50,0.0,zero
U,50,0.27,positive
C,51,-0.559,negative
O,51,0.614,positive
U,51,-0.324,negative
C,52,-0.41,negative
O,52,-0.551,negative
U,52,0.765,positive
C,53,0.0,zero
O,53,0.0,zero
U,53,0.0,zero
C,54,0.0,zero
O,54,0.268,positive
U,54,0.0,zero
C,55,0.0,zero
O,55,0.621,positive
U,55,-0.669,negative
C,56,0.0,zero
O,56,0.861,positive
U,56,-0.862,negative
C,57,0.0,zero
O,57,0.0,zero
U,57,-0.779,negative
C,58,0.0,zero
O,58,0.655,positive
U,58,0.0,zero
C,59,0.0,zero
O,59,0.0,zero
U,59,0.0,zero
C,60,0.0,zero
O,60,0.0,zero
U,60,0.0,zero
C,61,0.0,zero
O,61,-0.642,negative
U,61,0.612,positive
C,62,0.0,zero
O,62,0.803,positive
U,62,-0.803,negative
C,63,0.0,zero
O,63,0.0,zero
U,63,0.0,zero
C,64,0.0,zero
O,64,-0.782,negative
U,64,0.809,positive
C,65,0.0,zero
O,65,0.0,zero
U,65,0.0,zero
C,66,0.0,zero
O,66,-0.85,negative
U,66,0.85,positive
C,67,0.0,zero
O,67,-0.852,negative
U,67,0.85,positive
C,68,0.0,zero
O,68,0.0,zero
U,68,0.0,zero
C,69,0.0,zero
O,69,-0.658,negative
U,69,0.644,positive
C,70,0.799,positive
O,70,-0.78,negative
U,70,0.254,positive
C,71,0.696,positive
O,71,-0.796,negative
U,71,0.19,positive
C,72,0.841,positive
O,72,-0.589,negative
U,72,-0.364,negative
C,73,0.0,zero
O,73,0.645,positive
U,73,-0.614,negative
C,74,0.0,zero
O,74,0.295,positive
U,74,-0.286,negative
C,75,0.0,zero
O,75,0.154,positive
U,75,-0.154,negative
C,76,0.0,zero
O,76,0.0,zero
U,76,0.0,zero
C,77,0.0,zero
O,77,0.838,positive
U,77,-0.838,negative
C,78,0.0,zero
O,78,0.833,positive
U,78,-0.833,negative
C,79,0.0,zero
O,79,0.833,positive
U,79,-0.833,negative
C,80,0.0,zero
O,80,0.837,positive
U,80,-0.837,negative
C,81,0.0,zero
O,81,-0.155,negative
U,81,0.112,positive
C,82,0.0,zero
O,82,0.126,positive
U,82,0.0,zero
C,83,0.0,zero
O,83,0.104,positive
U,83,0.0,zero
C,84,0.0,zero
O,84,0.0,zero
U,84,0.0,zero
C,85,0.0,zero
O,85,0.163,positive
U,85,0.0,zero
C,86,0.083,positive
O,86,0.204,positive
U,86,0.0,zero
C,87,0.0,zero
O,87,0.0,zero
U,87,0.0,zero
C,88,0.0,zero
O,88,0.0,zero
U,88,0.0,zero
C,89,0.0,zero
O,89,0.0,zero
U,89,0.0,zero
C,90,0.0,zero
O,90,0.0,zero
U,90,0.0,zero
C,91,0.0,zero
O,91,0.0,zero
U,91,0.0,zero
C,92,0.0,zero
O,92,0.0,zero
U,92,0.0,zero
C,93,0.0,zero
O,93,0.0,zero
U,93,0.086,positive
C,94,0.0,zero
O,94,-0.069,negative
U,94,0.069,positive
C,95,0.0,zero
O,95,-0.052,negative
U,95,0.069,positive
C,96,0.0,zero
O,96,-0.069,negative
U,96,0.069,positive
C,97,0.0,zero
O,97,0.0,zero
U,97,0.0,zero
C,98,0.0,zero
O,98,0.0,zero
U,98,0.0,zero
C,99,0.0,zero
O,99,0.0,zero
U,99,0.0,zero
C,100,0.0,zero
O,100,0.0,zero
U,100,0.0,zero
