Feature,Q1,Q3,Median Spearman Correlation
Pos1_C,-0.791,-0.791,-0.791
Pos2_T,-0.523,-0.296,-0.413
Pos3_C,-0.749,-0.651,-0.727
Pos4_T,-0.479,-0.085,-0.239
Pos6_T,-0.644,-0.403,-0.589
Pos7_T,-0.635,-0.178,-0.489
Pos8_T,-0.713,-0.429,-0.643
Pos10_T,-0.664,-0.031,-0.287
Pos11_T,-0.695,-0.482,-0.682
Pos13_A,-0.566,-0.388,-0.473
Pos14_G,-0.758,-0.458,-0.745
Pos16_T,-0.613,-0.363,-0.525
Pos17_T,-0.676,-0.585,-0.65
Pos18_A,-0.634,-0.209,-0.342
Pos18_T,-0.719,-0.601,-0.67
Pos19_A,-0.632,-0.285,-0.546
Pos19_T,-0.708,-0.599,-0.67
Pos20_A,-0.237,-0.103,-0.185
Pos20_C,-0.851,-0.752,-0.838
Pos20_T,-0.627,-0.627,-0.627
