Pos1_Unpaired,Pos1_Paired-Opening,Pos1_Paired-Closing,Pos2_Unpaired,Pos2_Paired-Opening,Pos2_Paired-Closing,Pos3_Unpaired,Pos3_Paired-Opening,Pos3_Paired-Closing,Pos4_Unpaired,Pos4_Paired-Opening,Pos4_Paired-Closing,Pos5_Unpaired,Pos5_Paired-Opening,Pos5_Paired-Closing,Pos6_Unpaired,Pos6_Paired-Opening,Pos6_Paired-Closing,Pos7_Unpaired,Pos7_Paired-Opening,Pos7_Paired-Closing,Pos8_Unpaired,Pos8_Paired-Opening,Pos8_Paired-Closing,Pos9_Unpaired,Pos9_Paired-Opening,Pos9_Paired-Closing,Pos10_Unpaired,Pos10_Paired-Opening,Pos10_Paired-Closing,Pos11_Unpaired,Pos11_Paired-Opening,Pos11_Paired-Closing,Pos12_Unpaired,Pos12_Paired-Opening,Pos12_Paired-Closing,Pos13_Unpaired,Pos13_Paired-Opening,Pos13_Paired-Closing,Pos14_Unpaired,Pos14_Paired-Opening,Pos14_Paired-Closing,Pos15_Unpaired,Pos15_Paired-Opening,Pos15_Paired-Closing,Pos16_Unpaired,Pos16_Paired-Opening,Pos16_Paired-Closing,Pos17_Unpaired,Pos17_Paired-Opening,Pos17_Paired-Closing,Pos18_Unpaired,Pos18_Paired-Opening,Pos18_Paired-Closing,Pos19_Unpaired,Pos19_Paired-Opening,Pos19_Paired-Closing,Pos20_Unpaired,Pos20_Paired-Opening,Pos20_Paired-Closing,Pos21_Unpaired,Pos21_Paired-Opening,Pos21_Paired-Closing,Pos1_Unpaired,Pos1_Paired-Opening,Pos1_Paired-Closing,Pos2_Unpaired,Pos2_Paired-Opening,Pos2_Paired-Closing,Pos3_Unpaired,Pos3_Paired-Opening,Pos3_Paired-Closing,Pos4_Unpaired,Pos4_Paired-Opening,Pos4_Paired-Closing,Pos5_Unpaired,Pos5_Paired-Opening,Pos5_Paired-Closing,Pos6_Unpaired,Pos6_Paired-Opening,Pos6_Paired-Closing,Pos7_Unpaired,Pos7_Paired-Opening,Pos7_Paired-Closing,Pos8_Unpaired,Pos8_Paired-Opening,Pos8_Paired-Closing,Pos9_Unpaired,Pos9_Paired-Opening,Pos9_Paired-Closing,Pos10_Unpaired,Pos10_Paired-Opening,Pos10_Paired-Closing,Pos11_Unpaired,Pos11_Paired-Opening,Pos11_Paired-Closing,Pos12_Unpaired,Pos12_Paired-Opening,Pos12_Paired-Closing,Pos13_Unpaired,Pos13_Paired-Opening,Pos13_Paired-Closing,Pos14_Unpaired,Pos14_Paired-Opening,Pos14_Paired-Closing,Pos15_Unpaired,Pos15_Paired-Opening,Pos15_Paired-Closing,Pos16_Unpaired,Pos16_Paired-Opening,Pos16_Paired-Closing,Pos17_Unpaired,Pos17_Paired-Opening,Pos17_Paired-Closing,Pos18_Unpaired,Pos18_Paired-Opening,Pos18_Paired-Closing,Pos19_Unpaired,Pos19_Paired-Opening,Pos19_Paired-Closing,Pos20_Unpaired,Pos20_Paired-Opening,Pos20_Paired-Closing,Pos21_Unpaired,Pos21_Paired-Opening,Pos21_Paired-Closing
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0023532903473824263,0.0019433357939124107,0.0,0.001133674392476678,0.0014188230596482753,0.0,0.0009516942966729402,0.001451870136661455,0.0,0.0013144498132169247,0.0015223255194723607,0.0,0.0005439449101686478,0.0006355908513069153,0.0,0.0015251364931464196,0.0017809975147247315,0.0,0.0,0.0,0.0,0.0005295027233660221,0.0006324834190309048,0.0,0.0003226081095635891,0.000285327909514308,0.0,0.00022502310574054718,0.00017754651606082916,0.0,0.0005200756341218948,0.000511788772419095,0.0,0.0005659688636660575,0.0004903933964669705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007225660979747772,0.0005488552525639534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003650394454598427,0.0002282659150660038,0.0,0.00015899118036031724,0.00012368871364742517,0.0,-2.1548012737184762e-05,-0.00010620844434015452,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0013697790913283826,0.0010676159616559743,0.0,0.0007045477023348212,0.0008312208950519562,0.0,0.00027157941833138465,0.00033073510974645614,0.0,0.0,0.0,0.0,0.00131550382822752,0.0015159202180802822,0.0,0.0010810885205864906,0.0012735872343182563,0.0,0.0,0.0,0.0,0.0003824492357671261,0.00048223458230495453,0.0,0.000435943603515625,0.00038579629734158515,0.0,0.0007797008939087391,0.0005825313553214073,0.0,0.0006575728440657258,0.0006363676860928535,0.0,0.0005698238406330347,0.0004979715961962939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3717906549572944e-05,-3.49014881066978e-06,0.0,0.0010356094501912593,0.0007319893594831228,0.0,0.0006480073949205689,0.0004454963665921241,0.0,-0.00014223822741769255,-0.00016982834902592002,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0031132760643959047,0.002453833604231477,0.0,0.0016102553717792034,0.0017809179611504079,0.0,0.0008938478375785053,0.001170415747910738,0.0,0.000493374615907669,0.000488305613398552,0.0,0.0006624601036310196,0.0007317322492599487,0.0,0.0006880216300487518,0.00080050989985466,0.0,0.0,0.0,0.0,0.0005630197376012802,0.000635491032153368,0.0,0.0007624079892411828,0.0007625447586178779,0.0,0.0009142053686082363,0.0007133048586547375,0.0,0.0005705760791897774,0.0005679872259497643,0.0,0.0005694418027997017,0.0004950682632625103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003654602915048599,0.00022201939951628448,0.0,0.00036452561616897585,0.0002102295123040676,0.0,0.0005310000386089086,0.00042205098085105417,0.0,-1.8924768082797526e-05,0.00019089487381279468,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.002581601180136204,0.0020680361054837702,0.0,0.0015371699444949626,0.001560853999108076,0.0,0.0002946726907975972,0.0003718284470960498,0.0,0.0003125196322798729,0.00025442246347665785,0.0,0.0006207416579127312,0.0007138705998659134,0.0,0.002074582576751709,0.002458147406578064,0.0,0.0,0.0,0.0,0.0001977643370628357,0.0002189003862440586,0.0,0.00042021073400974276,0.0004239908326417208,0.0,0.0003136730566620827,0.0002312731184065342,0.0,0.00021862562745809556,0.00019876450300216676,0.0,0.0009315914288163186,0.0008126744627952576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017973089590668677,0.0001229383982717991,0.0,0.0,0.0,0.0,0.00016036899760365486,8.441491052508355e-05,0.0,0.00022753121331334114,0.00019650669768452644,0.0,0.0003680605022236705,0.00024268260458484291,0.0,-2.8628880972974002e-05,0.00012374725891277195,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0020572825521230696,0.0016091184318065643,0.0,0.0010988779366016388,0.0013576792180538177,0.0,0.0002844087721314281,0.0003908770810812712,0.0,0.0003280533105134964,0.0002707836404442787,0.0,0.0005464754998683929,0.0006332533061504365,0.0,0.000735645666718483,0.0008607307076454163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047906093299388886,0.0004326397366821766,0.0,0.0010074411891400814,0.000777878575026989,0.0,0.0003997207060456276,0.0003830689936876297,0.0,0.0004579726792871952,0.00044012488797307014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016252484638243914,6.640718871494755e-05,0.0,-0.03831380818737671,-0.039360477947629986,0.0,2.779511734843254e-05,1.4072097837924957e-06,0.0,0.0005268537253141403,0.00047856975346803664,0.0,0.0002797675644978881,0.00017245547845959664,0.0,-1.1967200553044677e-05,-7.438410073518754e-05,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.002199349906295538,0.001763221211731434,0.0,0.0010222213063389063,0.0012217472866177558,0.0,0.00022103410214185715,0.0003661288321018219,0.0,0.0,0.0,0.0,0.002961426042020321,0.0033765385672450067,0.0,0.0016980772465467454,0.002038080431520939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003403754346072674,0.00028822094202041626,0.0,0.0006900228001177311,0.0005627923272550106,0.0,0.0002830261830240488,0.00028307712636888027,0.0,0.0007174622640013695,0.0006172545813024045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040150444023311137,0.0002958948723971844,0.0,0.0,0.0,0.0,0.00014912566752173006,5.656580906361341e-05,0.0,0.0,0.0,0.0,0.0003590745013207197,0.00030486634001135825,0.0,8.76010162755847e-06,0.00020462081767618656,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0020897219516336917,0.0016865642555058003,0.0,0.0012558472622185945,0.0012744843866676092,0.0,0.0005664546182379127,0.0008573549729771912,0.0,0.00035839170217514036,0.0002804508060216904,0.0,0.0019368591904640197,0.002184096537530422,0.0,0.0012996242940425872,0.0015404680743813515,0.0,0.0,0.0,0.0,0.00046157036907970903,0.000603108461946249,0.0,4.9544698558747765e-05,6.155046634376049e-05,0.0,0.0003687926195561886,0.0002631940320134163,0.0,0.00021227417513728142,0.00019288305193185807,0.0,0.0016415579989552498,0.0014178255898877978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016394022386521102,0.00011010946240276098,0.0,0.0,0.0,0.0,-7.568674627691507e-06,-3.994926810264587e-05,0.0,0.0006833713874220848,0.00046538062393665315,0.0,0.00020876101683825254,0.0001038232451537624,0.0,-9.579788660630583e-05,-0.0002294769510626793,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.003324150536209345,0.002738296231254935,0.0,0.001859441390261054,0.001794190751388669,0.0,0.001614363407716155,0.002177068069577217,0.0,0.0003483351320028305,0.0002838335372507572,0.0,0.0005909029766917229,0.0006667203456163407,0.0,0.0028118402883410454,0.0033324366807937623,0.0,0.0,0.0,0.0,0.00036780428141355517,0.00046873642131686213,0.0,0.00019374258816242217,0.0002247280068695545,0.0,0.00019640516489744187,0.00015730015933513642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003498134016990662,0.0002473477320745587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005518298968672752,0.00033630890771746636,0.0,0.00023567989468574523,0.00021467801183462144,0.0,-4.46509598987177e-05,-7.675393018871546e-05,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0018067043740302325,0.0014450569450855256,0.0,0.0008519324718508869,0.0011211014445871115,0.0,0.0010603812569752336,0.0013616129802539944,0.0,0.0003637329861521721,0.00039253212511539457,0.0,0.0005392280220985413,0.0006288602948188782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181924000382424e-05,0.00011356627568602562,0.0,0.00017178554087877274,0.00015234592370688915,0.0,0.0006460066884756088,0.0005007699877023697,0.0,0.0,0.0,0.0,0.000552517268806696,0.0004779861867427826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002867438830435276,0.00019181597046554087,0.0,0.0,0.0,0.0,7.928055187221617e-05,4.0240256348624824e-05,0.0,0.0014899256825447083,0.0011636024992913007,0.0,0.00037884850637055935,0.00019327960195369086,0.0,-0.0001669870736077428,-0.00044252795167267324,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0015238774754106998,0.0012064090371131898,0.0,0.0008270488400012255,0.0008419710583984852,0.0,0.0007169894920662045,0.000961187444627285,0.0,0.00033701643347740175,0.0004429342970252037,0.0,0.0019468177109956742,0.0022146578133106234,0.0,0.0013679256290197372,0.00162303626537323,0.0,0.0,0.0,0.0,0.00019960664212703705,0.00023502945899963378,0.0,0.0003731641545891762,0.00040601092390716074,0.0,0.0,0.0,0.0,0.0006540803611278533,0.0006493937224149704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000678052045404911,0.0005511464364826679,0.0,0.0,0.0,0.0,9.379289229400457e-05,3.331657499074936e-05,0.0,0.00022313360124826432,0.000190095491707325,0.0,0.00018207380548119546,0.00015641541802324354,0.0,-1.4484138227999211e-06,-1.0377271100878716e-05,0.0
