Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,0.203,0.224,0.224
Pos2_Paired-Opening,0.175,0.3,0.3
Pos3_Paired-Opening,0.355,0.355,0.355
Pos4_Paired-Opening,0.408,0.408,0.408
Pos5_Paired-Opening,0.378,0.436,0.436
Pos6_Paired-Opening,0.731,0.731,0.731
Pos7_Paired-Opening,0.694,0.699,0.699
Pos8_Paired-Opening,0.678,0.681,0.68
Pos9_Paired-Opening,0.67,0.67,0.67
Pos10_Paired-Opening,0.547,0.608,0.608
Pos11_Paired-Opening,0.494,0.714,0.695
Pos12_Paired-Opening,0.572,0.734,0.724
Pos13_Paired-Opening,0.372,0.719,0.633
Pos14_Paired-Opening,0.328,0.723,0.673
Pos15_Paired-Opening,0.645,0.767,0.767
Pos16_Paired-Opening,0.732,0.738,0.738
Pos17_Paired-Opening,0.261,0.719,0.551
Pos18_Paired-Opening,0.141,0.679,0.505
Pos19_Paired-Opening,0.627,0.66,0.66
Pos20_Paired-Opening,0.576,0.75,0.75
Pos21_Paired-Opening,0.522,0.821,0.71
Pos22_Unpaired,0.774,0.865,0.862
Pos22_Paired-Closing,0.391,0.427,0.427
Pos23_Unpaired,0.521,0.865,0.859
Pos24_Unpaired,0.211,0.862,0.862
Pos24_Paired-Closing,0.513,0.569,0.564
Pos25_Unpaired,0.827,0.864,0.864
Pos25_Paired-Closing,0.283,0.601,0.595
Pos26_Unpaired,0.173,0.694,0.504
Pos26_Paired-Closing,0.543,0.62,0.606
Pos27_Paired-Closing,0.692,0.692,0.692
Pos28_Paired-Closing,0.146,0.73,0.73
Pos29_Paired-Closing,0.088,0.764,0.684
Pos30_Paired-Closing,0.192,0.737,0.322
Pos31_Paired-Closing,0.552,0.835,0.771
Pos32_Paired-Closing,0.851,0.86,0.86
Pos34_Unpaired,0.557,0.857,0.786
Pos37_Paired-Closing,0.595,0.857,0.857
Pos38_Paired-Closing,0.863,0.865,0.865
