Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,0.189,0.189,0.189
Pos2_Paired-Opening,0.237,0.237,0.237
Pos3_Paired-Opening,0.242,0.242,0.242
Pos4_Paired-Opening,0.281,0.281,0.281
Pos5_Paired-Opening,0.236,0.236,0.236
Pos6_Paired-Opening,0.538,0.538,0.538
Pos7_Paired-Opening,0.496,0.508,0.499
Pos8_Paired-Opening,0.498,0.498,0.498
Pos9_Paired-Opening,0.491,0.491,0.491
Pos10_Paired-Opening,0.474,0.486,0.485
Pos11_Paired-Opening,0.31,0.427,0.375
Pos12_Paired-Opening,0.48,0.48,0.48
Pos13_Paired-Opening,0.485,0.486,0.486
Pos14_Paired-Opening,0.229,0.493,0.45
Pos15_Paired-Opening,0.311,0.526,0.459
Pos15_Paired-Closing,0.11,0.601,0.495
Pos16_Paired-Opening,0.361,0.508,0.443
Pos17_Unpaired,0.285,0.388,0.379
Pos18_Unpaired,0.351,0.351,0.351
Pos19_Unpaired,0.402,0.402,0.402
Pos20_Unpaired,0.618,0.618,0.618
Pos21_Unpaired,0.614,0.751,0.751
Pos22_Unpaired,0.481,0.801,0.778
Pos22_Paired-Closing,0.065,0.291,0.28
Pos23_Unpaired,0.537,0.822,0.819
Pos23_Paired-Closing,0.31,0.331,0.331
Pos24_Paired-Opening,0.296,0.726,0.708
Pos24_Paired-Closing,0.318,0.318,0.318
Pos25_Paired-Opening,0.778,0.778,0.778
Pos25_Paired-Closing,0.377,0.377,0.377
Pos26_Paired-Opening,0.755,0.755,0.755
Pos26_Paired-Closing,0.427,0.427,0.427
Pos27_Paired-Opening,0.669,0.728,0.727
Pos27_Paired-Closing,0.456,0.456,0.456
Pos28_Paired-Closing,0.513,0.522,0.522
Pos29_Paired-Closing,0.577,0.577,0.577
Pos30_Unpaired,0.129,0.703,0.595
Pos31_Unpaired,0.68,0.728,0.718
Pos31_Paired-Opening,0.326,0.339,0.339
Pos32_Paired-Opening,0.218,0.218,0.218
Pos33_Paired-Opening,1.0,1.0,1.0
Pos33_Paired-Closing,0.8,0.8,0.8
Pos34_Paired-Closing,0.812,0.812,0.812
Pos35_Unpaired,0.279,0.827,0.609
Pos36_Unpaired,0.829,0.836,0.836
Pos37_Unpaired,0.445,0.831,0.8
Pos38_Paired-Closing,0.036,0.798,0.427
Pos39_Paired-Closing,0.762,0.762,0.762
Pos40_Paired-Closing,0.637,0.637,0.637
