Feature,Q1,Q3,Median Spearman Correlation
Pos21_C,-0.834,-0.833,-0.834
Pos22_A,-0.559,-0.492,-0.53
Pos22_T,-0.79,-0.767,-0.78
Pos23_A,-0.484,-0.0,-0.257
Pos24_C,-0.582,-0.238,-0.463
Pos25_T,-0.794,-0.77,-0.791
Pos26_T,-0.779,-0.779,-0.779
Pos27_T,-0.811,-0.81,-0.811
Pos28_T,-0.773,-0.679,-0.761
Pos29_G,-0.627,-0.146,-0.215
Pos29_T,-0.628,-0.325,-0.579
Pos30_T,-0.785,-0.637,-0.771
Pos31_G,-0.434,-0.067,-0.347
Pos33_T,-0.782,-0.582,-0.705
Pos34_T,-0.738,-0.573,-0.666
Pos35_T,-0.611,-0.337,-0.501
Pos36_G,-0.586,-0.107,-0.281
Pos37_G,-0.726,-0.652,-0.709
Pos38_G,-0.748,-0.433,-0.661
Pos39_C,-0.792,-0.753,-0.791
Pos39_G,-0.722,-0.465,-0.67
Pos40_G,-0.757,-0.757,-0.757
