Feature,Q1,Q3,Median Spearman Correlation
Pos21_G,0.694,0.694,0.694
Pos22_C,0.819,0.819,0.819
Pos22_G,0.191,0.717,0.705
Pos23_T,0.298,0.547,0.378
Pos24_G,0.658,0.712,0.706
Pos25_A,0.236,0.427,0.297
Pos25_C,0.542,0.726,0.678
Pos25_G,0.642,0.731,0.718
Pos26_A,0.597,0.597,0.597
Pos26_G,0.409,0.676,0.593
Pos27_A,0.509,0.616,0.592
Pos27_C,0.638,0.757,0.751
Pos27_G,0.386,0.698,0.605
Pos28_A,0.496,0.552,0.533
Pos28_C,0.812,0.821,0.82
Pos28_G,0.26,0.567,0.46
Pos29_A,0.277,0.591,0.478
Pos29_C,0.797,0.803,0.802
Pos30_C,0.763,0.775,0.767
Pos30_G,0.054,0.62,0.35
Pos31_A,0.407,0.58,0.555
Pos31_C,0.503,0.778,0.682
Pos32_A,0.374,0.55,0.435
Pos32_C,0.68,0.793,0.77
Pos32_G,0.123,0.665,0.401
Pos33_A,0.222,0.506,0.417
Pos33_C,0.754,0.788,0.785
Pos33_G,0.463,0.695,0.604
Pos34_A,0.446,0.567,0.516
Pos34_C,0.464,0.806,0.631
Pos34_G,0.156,0.674,0.478
Pos35_A,0.074,0.516,0.403
Pos35_C,0.401,0.782,0.691
Pos35_G,0.638,0.729,0.688
Pos36_A,0.288,0.561,0.488
Pos36_C,0.194,0.75,0.662
Pos37_A,0.561,0.561,0.561
Pos37_T,0.347,0.533,0.393
Pos38_A,0.551,0.567,0.567
Pos38_C,0.044,0.624,0.404
Pos39_A,0.596,0.596,0.596
Pos40_A,0.489,0.552,0.504
Pos40_C,0.814,0.825,0.825
Pos40_T,0.587,0.764,0.678
