Feature,Q1,Q3,Median Spearman Correlation
Pos21_G,0.679,0.694,0.694
Pos22_C,0.798,0.815,0.812
Pos23_T,0.165,0.497,0.331
Pos24_A,0.31,0.554,0.45
Pos24_G,0.292,0.51,0.46
Pos25_A,0.411,0.48,0.426
Pos25_C,0.291,0.617,0.502
Pos25_G,0.363,0.624,0.502
Pos26_A,0.597,0.597,0.597
Pos26_G,0.065,0.406,0.11
Pos27_A,0.502,0.592,0.557
Pos27_C,0.391,0.716,0.609
Pos28_A,0.363,0.505,0.497
Pos28_C,0.622,0.808,0.704
Pos29_A,0.422,0.581,0.559
Pos29_C,0.268,0.717,0.56
Pos30_A,0.183,0.434,0.335
Pos30_C,0.459,0.708,0.625
Pos31_A,0.552,0.565,0.562
Pos32_A,0.478,0.558,0.521
Pos33_A,0.27,0.357,0.341
Pos33_C,0.181,0.632,0.35
Pos34_A,0.418,0.532,0.51
Pos35_A,0.478,0.566,0.514
Pos36_A,0.282,0.539,0.364
Pos36_T,0.326,0.525,0.453
Pos37_A,0.531,0.561,0.558
Pos37_T,0.485,0.617,0.547
Pos38_A,0.529,0.567,0.559
Pos39_A,0.591,0.596,0.596
Pos39_T,0.049,0.714,0.347
Pos40_A,0.444,0.552,0.539
Pos40_C,0.825,0.825,0.825
Pos40_T,0.356,0.78,0.693
