feature_name,fraction_above_threshold,rank
Pos1_Unpaired,0.0,1
Pos193_Paired-Opening,0.0,2
Pos185_Paired-Opening,0.0,3
Pos185_Paired-Closing,0.0,4
Pos186_Unpaired,0.0,5
Pos186_Paired-Opening,0.0,6
Pos186_Paired-Closing,0.0,7
Pos187_Unpaired,0.0,8
Pos187_Paired-Opening,0.0,9
Pos187_Paired-Closing,0.0,10
Pos188_Unpaired,0.0,11
Pos188_Paired-Opening,0.0,12
Pos188_Paired-Closing,0.0,13
Pos189_Unpaired,0.0,14
Pos189_Paired-Opening,0.0,15
Pos189_Paired-Closing,0.0,16
Pos190_Unpaired,0.0,17
Pos190_Paired-Opening,0.0,18
Pos190_Paired-Closing,0.0,19
Pos191_Unpaired,0.0,20
Pos191_Paired-Opening,0.0,21
Pos191_Paired-Closing,0.0,22
Pos192_Unpaired,0.0,23
Pos192_Paired-Opening,0.0,24
Pos192_Paired-Closing,0.0,25
Pos185_Unpaired,0.0,26
Pos184_Paired-Closing,0.0,27
Pos184_Paired-Opening,0.0,28
Pos180_Unpaired,0.0,29
Pos176_Paired-Closing,0.0,30
Pos177_Unpaired,0.0,31
Pos177_Paired-Opening,0.0,32
Pos177_Paired-Closing,0.0,33
Pos178_Unpaired,0.0,34
Pos178_Paired-Opening,0.0,35
Pos178_Paired-Closing,0.0,36
Pos179_Unpaired,0.0,37
Pos179_Paired-Opening,0.0,38
Pos179_Paired-Closing,0.0,39
Pos180_Paired-Opening,0.0,40
Pos184_Unpaired,0.0,41
Pos180_Paired-Closing,0.0,42
Pos181_Unpaired,0.0,43
Pos181_Paired-Opening,0.0,44
Pos181_Paired-Closing,0.0,45
Pos182_Unpaired,0.0,46
Pos182_Paired-Opening,0.0,47
Pos182_Paired-Closing,0.0,48
Pos183_Unpaired,0.0,49
Pos183_Paired-Opening,0.0,50
Pos183_Paired-Closing,0.0,51
Pos193_Unpaired,0.0,52
Pos193_Paired-Closing,0.0,53
Pos1_Paired-Opening,0.0,54
Pos194_Unpaired,0.0,55
Pos203_Unpaired,0.0,56
Pos203_Paired-Opening,0.0,57
Pos203_Paired-Closing,0.0,58
Pos204_Unpaired,0.0,59
Pos204_Paired-Opening,0.0,60
Pos204_Paired-Closing,0.0,61
Pos205_Unpaired,0.0,62
Pos205_Paired-Opening,0.0,63
Pos205_Paired-Closing,0.0,64
Pos206_Unpaired,0.0,65
Pos206_Paired-Opening,0.0,66
Pos206_Paired-Closing,0.0,67
Pos207_Unpaired,0.0,68
Pos207_Paired-Opening,0.0,69
Pos207_Paired-Closing,0.0,70
Pos208_Unpaired,0.0,71
Pos208_Paired-Opening,0.0,72
Pos208_Paired-Closing,0.0,73
Pos209_Unpaired,0.0,74
Pos209_Paired-Opening,0.0,75
Pos209_Paired-Closing,0.0,76
Pos210_Unpaired,0.0,77
Pos210_Paired-Opening,0.0,78
Pos202_Paired-Closing,0.0,79
Pos202_Paired-Opening,0.0,80
Pos202_Unpaired,0.0,81
Pos197_Paired-Closing,0.0,82
Pos194_Paired-Opening,0.0,83
Pos194_Paired-Closing,0.0,84
Pos195_Unpaired,0.0,85
Pos195_Paired-Opening,0.0,86
Pos195_Paired-Closing,0.0,87
Pos196_Unpaired,0.0,88
Pos196_Paired-Opening,0.0,89
Pos196_Paired-Closing,0.0,90
Pos197_Unpaired,0.0,91
Pos197_Paired-Opening,0.0,92
Pos198_Unpaired,0.0,93
Pos201_Paired-Closing,0.0,94
Pos198_Paired-Opening,0.0,95
Pos198_Paired-Closing,0.0,96
Pos199_Unpaired,0.0,97
Pos199_Paired-Opening,0.0,98
Pos199_Paired-Closing,0.0,99
Pos200_Unpaired,0.0,100
Pos200_Paired-Opening,0.0,101
Pos200_Paired-Closing,0.0,102
Pos201_Unpaired,0.0,103
