Feature,Q1,Q3,Median Spearman Correlation
Pos1_C,-0.79,-0.79,-0.79
Pos2_G,-0.609,-0.108,-0.329
Pos2_T,-0.633,-0.394,-0.515
Pos3_C,-0.66,-0.213,-0.486
Pos6_T,-0.76,-0.666,-0.724
Pos7_T,-0.605,-0.224,-0.441
Pos8_T,-0.649,-0.372,-0.524
Pos10_G,-0.206,-0.068,-0.144
Pos10_T,-0.622,-0.189,-0.437
Pos11_T,-0.65,-0.458,-0.528
Pos12_T,-0.547,-0.371,-0.439
Pos13_A,-0.493,-0.223,-0.345
Pos13_T,-0.492,-0.015,-0.248
Pos14_G,-0.717,-0.301,-0.647
Pos16_T,-0.693,-0.582,-0.656
Pos17_T,-0.699,-0.63,-0.67
Pos18_A,-0.673,-0.231,-0.476
Pos18_T,-0.746,-0.67,-0.725
Pos19_A,-0.684,-0.159,-0.561
Pos19_T,-0.72,-0.697,-0.72
Pos20_A,-0.429,-0.028,-0.316
Pos20_C,-0.841,-0.77,-0.828
Pos20_T,-0.632,-0.632,-0.632
