Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,0.794,0.794,0.794
Pos2_Unpaired,0.608,0.846,0.766
Pos3_Paired-Opening,0.308,0.837,0.62
Pos4_Paired-Opening,0.637,0.831,0.771
Pos6_Unpaired,0.629,0.81,0.701
Pos8_Unpaired,0.551,0.764,0.689
Pos9_Unpaired,0.783,0.792,0.792
Pos10_Paired-Opening,0.035,0.559,0.157
Pos10_Paired-Closing,0.19,0.218,0.211
Pos11_Paired-Opening,0.818,0.836,0.826
Pos11_Paired-Closing,0.273,0.286,0.286
Pos12_Paired-Closing,0.27,0.286,0.286
Pos13_Paired-Closing,0.272,0.286,0.286
Pos14_Paired-Opening,0.621,0.865,0.846
Pos14_Paired-Closing,0.281,0.3,0.297
Pos15_Paired-Opening,0.687,0.859,0.844
Pos15_Paired-Closing,0.199,0.285,0.221
Pos16_Paired-Opening,0.45,0.849,0.777
Pos17_Unpaired,0.064,0.845,0.625
Pos18_Paired-Opening,0.378,0.583,0.493
Pos19_Paired-Opening,0.605,0.849,0.849
Pos20_Paired-Opening,0.849,0.851,0.851
Pos20_Paired-Closing,0.09,0.534,0.274
Pos21_Paired-Closing,0.251,0.435,0.36
Pos23_Paired-Opening,0.389,0.563,0.476
Pos23_Paired-Closing,0.282,0.462,0.436
Pos26_Unpaired,0.021,0.34,0.238
Pos30_Paired-Opening,0.001,0.588,0.491
Pos30_Paired-Closing,0.294,0.454,0.356
Pos31_Paired-Opening,0.316,0.627,0.542
Pos31_Paired-Closing,0.444,0.488,0.481
Pos32_Paired-Opening,0.22,0.609,0.383
Pos33_Paired-Opening,0.134,0.134,0.134
Pos34_Paired-Opening,0.134,0.134,0.134
Pos35_Unpaired,0.0,0.122,0.098
Pos36_Unpaired,0.111,0.237,0.142
Pos37_Paired-Opening,0.134,0.134,0.134
Pos38_Paired-Opening,0.134,0.134,0.134
Pos41_Unpaired,0.598,0.605,0.605
Pos42_Unpaired,0.605,0.605,0.605
Pos43_Unpaired,0.598,0.613,0.613
Pos44_Unpaired,0.196,0.196,0.196
Pos44_Paired-Closing,0.591,0.618,0.616
Pos45_Unpaired,0.23,0.23,0.23
Pos45_Paired-Closing,0.136,0.504,0.473
Pos46_Unpaired,0.527,0.664,0.581
Pos47_Unpaired,0.546,0.649,0.601
Pos48_Unpaired,0.065,0.602,0.388
Pos49_Unpaired,0.402,0.402,0.402
Pos50_Unpaired,0.27,0.27,0.27
Pos51_Paired-Closing,0.459,0.664,0.614
Pos52_Unpaired,0.696,0.765,0.765
Pos54_Paired-Closing,0.027,0.692,0.268
Pos55_Paired-Closing,0.484,0.703,0.621
Pos56_Paired-Closing,0.857,0.862,0.861
Pos58_Paired-Closing,0.456,0.755,0.655
Pos61_Unpaired,0.582,0.642,0.612
Pos62_Paired-Closing,0.803,0.803,0.803
Pos64_Unpaired,0.771,0.83,0.809
Pos66_Unpaired,0.82,0.85,0.85
Pos67_Unpaired,0.761,0.855,0.85
Pos69_Unpaired,0.339,0.669,0.644
Pos70_Unpaired,0.133,0.265,0.254
Pos70_Paired-Opening,0.457,0.841,0.799
Pos71_Unpaired,0.064,0.346,0.19
Pos71_Paired-Opening,0.239,0.797,0.696
Pos72_Paired-Opening,0.814,0.841,0.841
Pos73_Paired-Closing,0.176,0.651,0.645
Pos74_Paired-Closing,0.189,0.295,0.295
Pos75_Paired-Closing,0.153,0.154,0.154
Pos77_Paired-Closing,0.837,0.838,0.838
Pos78_Paired-Closing,0.833,0.833,0.833
Pos79_Paired-Closing,0.833,0.833,0.833
Pos80_Paired-Closing,0.82,0.837,0.837
Pos81_Unpaired,0.045,0.134,0.112
Pos82_Paired-Closing,0.043,0.173,0.126
Pos83_Paired-Closing,0.043,0.164,0.104
Pos85_Paired-Closing,0.013,0.217,0.163
Pos86_Paired-Opening,0.001,0.209,0.083
Pos86_Paired-Closing,0.034,0.217,0.204
Pos93_Unpaired,0.043,0.131,0.086
Pos94_Unpaired,0.035,0.121,0.069
Pos95_Unpaired,0.038,0.164,0.069
Pos96_Unpaired,0.009,0.07,0.069
