Feature,Q1,Q3,Median Spearman Correlation
Pos21_A,-0.536,-0.05,-0.443
Pos21_C,-0.833,-0.833,-0.833
Pos22_A,-0.557,-0.388,-0.536
Pos22_T,-0.79,-0.55,-0.735
Pos24_T,-0.693,-0.045,-0.485
Pos25_T,-0.767,-0.576,-0.655
Pos26_T,-0.784,-0.735,-0.773
Pos27_T,-0.827,-0.806,-0.82
Pos28_T,-0.79,-0.726,-0.764
Pos29_G,-0.331,-0.114,-0.262
Pos29_T,-0.622,-0.198,-0.471
Pos30_T,-0.645,-0.469,-0.503
Pos31_T,-0.512,-0.141,-0.293
Pos32_T,-0.344,-0.201,-0.271
Pos33_T,-0.76,-0.312,-0.571
Pos34_T,-0.665,-0.478,-0.576
Pos35_T,-0.705,-0.418,-0.681
Pos37_G,-0.691,-0.664,-0.674
Pos38_G,-0.666,-0.167,-0.487
Pos39_G,-0.73,-0.399,-0.633
Pos40_G,-0.754,-0.754,-0.754
