Feature,Q1,Q3,Median Spearman Correlation
Pos21_C,-0.822,-0.822,-0.822
Pos22_T,-0.772,-0.77,-0.772
Pos24_C,-0.766,-0.668,-0.761
Pos24_T,-0.613,-0.172,-0.548
Pos25_T,-0.781,-0.757,-0.768
Pos26_T,-0.765,-0.76,-0.765
Pos27_T,-0.813,-0.813,-0.813
Pos28_G,-0.623,-0.248,-0.505
Pos28_T,-0.789,-0.789,-0.789
Pos29_T,-0.777,-0.777,-0.777
Pos30_T,-0.797,-0.748,-0.793
Pos31_T,-0.696,-0.181,-0.427
Pos32_A,-0.597,-0.265,-0.445
Pos32_T,-0.779,-0.654,-0.739
Pos33_T,-0.787,-0.781,-0.787
Pos34_T,-0.773,-0.721,-0.769
Pos35_G,-0.623,-0.045,-0.408
Pos36_G,-0.732,-0.724,-0.732
Pos37_G,-0.734,-0.733,-0.734
Pos38_C,-0.737,-0.242,-0.674
Pos39_C,-0.787,-0.784,-0.787
Pos40_G,-0.741,-0.741,-0.741
Pos40_T,-0.775,-0.381,-0.743
