Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,-0.667,-0.603,-0.63
Pos2_Unpaired,-0.829,-0.829,-0.829
Pos3_Unpaired,-0.634,-0.034,-0.416
Pos4_Paired-Opening,-0.727,-0.346,-0.577
Pos6_Paired-Opening,-0.79,-0.566,-0.717
Pos7_Unpaired,-0.643,-0.352,-0.51
Pos8_Paired-Closing,-1.0,-0.75,-1.0
Pos9_Paired-Closing,-0.181,-0.157,-0.181
Pos10_Paired-Opening,-0.5,-0.311,-0.409
Pos10_Paired-Closing,-0.254,-0.254,-0.254
Pos11_Paired-Opening,-0.778,-0.48,-0.678
Pos11_Paired-Closing,-0.295,-0.277,-0.295
Pos12_Paired-Opening,-0.403,-0.16,-0.201
Pos12_Paired-Closing,-0.161,-0.041,-0.079
Pos13_Unpaired,-0.311,-0.124,-0.214
Pos14_Paired-Opening,-0.832,-0.681,-0.796
Pos14_Paired-Closing,-0.273,-0.011,-0.228
Pos15_Paired-Opening,-0.807,-0.704,-0.752
Pos16_Paired-Opening,-0.847,-0.844,-0.845
Pos17_Paired-Opening,-0.843,-0.813,-0.834
Pos18_Unpaired,-0.55,-0.352,-0.45
Pos18_Paired-Closing,-0.298,-0.113,-0.227
Pos19_Paired-Opening,-0.54,-0.266,-0.46
Pos20_Paired-Opening,-0.851,-0.851,-0.851
Pos21_Paired-Opening,-0.587,-0.301,-0.502
Pos22_Paired-Closing,-0.193,-0.024,-0.079
Pos23_Paired-Closing,-0.292,-0.142,-0.244
Pos24_Unpaired,-0.563,-0.537,-0.545
Pos25_Unpaired,-0.557,-0.557,-0.557
Pos26_Unpaired,-0.407,-0.063,-0.269
Pos27_Paired-Opening,-0.702,-0.622,-0.658
Pos29_Paired-Opening,-0.621,-0.484,-0.581
Pos29_Paired-Closing,-0.275,-0.007,-0.186
Pos30_Unpaired,-0.453,-0.328,-0.438
Pos31_Paired-Opening,-0.618,-0.436,-0.525
Pos32_Paired-Opening,-0.679,-0.644,-0.656
Pos33_Paired-Closing,-0.445,-0.343,-0.363
Pos34_Paired-Closing,-0.436,-0.436,-0.436
Pos35_Paired-Closing,-0.377,-0.377,-0.377
Pos36_Paired-Closing,-0.339,-0.339,-0.339
Pos37_Unpaired,-0.631,-0.566,-0.62
Pos38_Paired-Closing,-0.46,-0.246,-0.396
Pos39_Paired-Opening,-0.23,-0.109,-0.229
Pos39_Paired-Closing,-0.629,-0.545,-0.601
Pos40_Unpaired,-1.0,-1.0,-1.0
Pos41_Paired-Closing,-0.233,-0.199,-0.216
Pos42_Paired-Opening,-0.618,-0.578,-0.617
Pos42_Paired-Closing,-0.331,-0.302,-0.314
Pos43_Paired-Opening,-0.618,-0.581,-0.617
Pos44_Unpaired,-0.323,-0.323,-0.323
Pos44_Paired-Opening,-0.618,-0.522,-0.618
Pos45_Unpaired,-0.385,-0.278,-0.365
Pos46_Paired-Closing,-0.755,-0.736,-0.751
