Feature,Q1,Q3,Median Spearman Correlation
Pos21_C,-0.818,-0.818,-0.818
Pos22_A,-0.712,-0.695,-0.71
Pos22_T,-0.663,-0.507,-0.617
Pos24_T,-0.714,-0.215,-0.429
Pos25_T,-0.779,-0.706,-0.765
Pos26_T,-0.765,-0.749,-0.761
Pos27_T,-0.803,-0.803,-0.803
Pos28_T,-0.78,-0.703,-0.761
Pos29_T,-0.775,-0.554,-0.668
Pos30_T,-0.805,-0.792,-0.803
Pos31_T,-0.678,-0.382,-0.606
Pos32_T,-0.552,-0.035,-0.398
Pos33_T,-0.779,-0.683,-0.775
Pos34_T,-0.504,-0.25,-0.357
Pos35_A,-0.646,-0.315,-0.531
Pos39_G,-0.689,-0.428,-0.67
Pos40_G,-0.732,-0.732,-0.732
