Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,-0.719,-0.719,-0.719
Pos2_Unpaired,-0.829,-0.829,-0.829
Pos3_Unpaired,-0.86,-0.86,-0.86
Pos5_Paired-Opening,-0.801,-0.508,-0.659
Pos6_Paired-Opening,-0.793,-0.28,-0.649
Pos7_Unpaired,-0.86,-0.807,-0.857
Pos8_Unpaired,-0.859,-0.859,-0.859
Pos9_Unpaired,-0.859,-0.786,-0.859
Pos10_Paired-Opening,-0.697,-0.06,-0.337
Pos10_Paired-Closing,-0.254,-0.254,-0.254
Pos11_Paired-Opening,-0.839,-0.738,-0.815
Pos11_Paired-Closing,-0.295,-0.295,-0.295
Pos12_Paired-Closing,-0.323,-0.323,-0.323
Pos13_Paired-Closing,-0.327,-0.327,-0.327
Pos14_Paired-Closing,-0.318,-0.318,-0.318
Pos15_Paired-Closing,-0.331,-0.331,-0.331
Pos16_Paired-Closing,-0.347,-0.303,-0.347
Pos17_Paired-Opening,-0.846,-0.846,-0.846
Pos17_Paired-Closing,-0.343,-0.124,-0.343
Pos18_Paired-Opening,-0.853,-0.74,-0.845
Pos18_Paired-Closing,-0.37,-0.37,-0.37
Pos19_Paired-Opening,-0.858,-0.426,-0.839
Pos19_Paired-Closing,-0.402,-0.402,-0.402
Pos20_Paired-Opening,-0.851,-0.851,-0.851
Pos20_Paired-Closing,-0.405,-0.405,-0.405
Pos21_Paired-Opening,-0.638,-0.519,-0.638
Pos21_Paired-Closing,-0.451,-0.421,-0.447
Pos22_Paired-Opening,-0.605,-0.541,-0.604
Pos22_Paired-Closing,-0.44,-0.42,-0.429
Pos23_Paired-Closing,-0.411,-0.324,-0.404
Pos24_Unpaired,-0.507,-0.313,-0.401
Pos25_Unpaired,-0.557,-0.557,-0.557
Pos26_Unpaired,-0.638,-0.638,-0.638
Pos27_Unpaired,-0.542,-0.025,-0.326
Pos27_Paired-Opening,-0.688,-0.557,-0.615
Pos29_Paired-Opening,-0.661,-0.638,-0.654
Pos30_Paired-Opening,-0.664,-0.664,-0.664
Pos31_Paired-Opening,-0.682,-0.682,-0.682
Pos32_Paired-Opening,-0.682,-0.682,-0.682
Pos35_Unpaired,-0.377,-0.365,-0.377
Pos36_Unpaired,-0.339,-0.339,-0.339
Pos38_Unpaired,-0.644,-0.011,-0.477
Pos41_Unpaired,-0.675,-0.675,-0.675
Pos42_Unpaired,-0.677,-0.677,-0.677
Pos43_Unpaired,-0.682,-0.682,-0.682
Pos45_Paired-Opening,-0.618,-0.17,-0.543
Pos45_Paired-Closing,-0.677,-0.018,-0.396
Pos47_Paired-Closing,-0.754,-0.443,-0.711
Pos48_Paired-Closing,-0.756,-0.517,-0.756
Pos50_Unpaired,-0.464,-0.252,-0.446
Pos51_Paired-Closing,-0.702,-0.667,-0.698
Pos52_Paired-Opening,-0.61,-0.3,-0.599
Pos52_Paired-Closing,-0.715,-0.714,-0.715
Pos53_Paired-Closing,-0.846,-0.846,-0.846
Pos54_Unpaired,-0.588,-0.568,-0.588
Pos55_Unpaired,-0.84,-0.048,-0.84
Pos56_Unpaired,-0.866,-0.72,-0.831
Pos57_Unpaired,-0.807,-0.801,-0.806
Pos59_Paired-Closing,-0.859,-0.645,-0.838
Pos60_Unpaired,-0.863,-0.835,-0.855
Pos61_Unpaired,-0.845,-0.845,-0.845
Pos62_Unpaired,-0.845,-0.308,-0.669
Pos63_Paired-Closing,-0.857,-0.724,-0.846
Pos65_Paired-Closing,-0.813,-0.813,-0.813
Pos66_Paired-Closing,-0.842,-0.841,-0.841
Pos67_Unpaired,-0.713,-0.699,-0.713
Pos68_Unpaired,-0.794,-0.794,-0.794
Pos69_Unpaired,-0.535,-0.535,-0.535
Pos70_Unpaired,-0.388,-0.366,-0.388
Pos71_Unpaired,-0.421,-0.408,-0.421
Pos72_Unpaired,-0.431,-0.057,-0.219
Pos75_Paired-Closing,-0.359,-0.359,-0.359
Pos76_Paired-Closing,-0.305,-0.305,-0.305
Pos77_Paired-Closing,-0.834,-0.834,-0.834
Pos78_Paired-Closing,-0.829,-0.829,-0.829
Pos79_Paired-Closing,-0.824,-0.824,-0.824
Pos80_Paired-Closing,-0.808,-0.808,-0.808
Pos81_Paired-Opening,-0.424,-0.048,-0.104
Pos83_Paired-Closing,-0.401,-0.268,-0.375
Pos84_Paired-Closing,-0.343,-0.154,-0.334
Pos85_Unpaired,-0.196,-0.098,-0.166
Pos86_Unpaired,-0.254,-0.254,-0.254
Pos87_Unpaired,-1.0,-1.0,-1.0
Pos88_Unpaired,-0.331,-0.301,-0.331
Pos90_Unpaired,-0.339,-0.339,-0.339
Pos91_Unpaired,-0.196,-0.196,-0.196
Pos92_Unpaired,-1.0,-1.0,-1.0
Pos93_Unpaired,-1.0,-0.45,-0.8
Pos94_Paired-Closing,-0.218,-0.065,-0.167
Pos96_Unpaired,-0.286,-0.286,-0.286
Pos97_Unpaired,-0.355,-0.355,-0.355
Pos98_Unpaired,-1.0,-1.0,-1.0
Pos100_Unpaired,-1.0,-1.0,-1.0
