Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,0.448,0.448,0.448
Pos2_Unpaired,0.559,0.559,0.559
Pos5_Paired-Opening,0.012,0.336,0.18
Pos7_Paired-Closing,1.0,1.0,1.0
Pos8_Paired-Closing,0.818,1.0,1.0
Pos9_Paired-Opening,0.053,0.207,0.151
Pos10_Unpaired,0.565,0.573,0.573
Pos11_Unpaired,0.455,0.531,0.496
Pos13_Unpaired,0.091,0.391,0.296
Pos13_Paired-Opening,1.0,1.0,1.0
Pos14_Unpaired,0.393,0.523,0.421
Pos15_Unpaired,0.611,0.635,0.635
Pos16_Unpaired,0.313,0.444,0.333
Pos17_Paired-Closing,0.637,0.654,0.644
Pos18_Paired-Closing,0.425,0.599,0.53
Pos19_Unpaired,0.538,0.565,0.565
Pos20_Unpaired,0.413,0.421,0.421
