Feature,Q1,Q3,Median Spearman Correlation
Pos2_A,0.786,0.786,0.786
Pos3_A,0.761,0.761,0.761
Pos4_A,0.361,0.606,0.422
Pos5_A,0.825,0.826,0.825
Pos6_A,0.653,0.655,0.655
Pos7_A,0.527,0.592,0.592
Pos7_G,0.001,0.68,0.34
Pos8_A,0.704,0.704,0.704
Pos9_A,0.783,0.783,0.783
Pos10_A,0.582,0.627,0.627
Pos11_A,0.655,0.678,0.678
Pos11_C,0.119,0.416,0.3
Pos12_A,0.584,0.65,0.635
Pos12_C,0.684,0.722,0.704
Pos13_A,0.624,0.632,0.628
Pos14_A,0.698,0.698,0.698
Pos14_G,0.137,0.797,0.592
Pos15_A,0.728,0.728,0.728
Pos15_G,0.023,0.689,0.381
Pos16_A,0.695,0.695,0.695
Pos16_G,0.577,0.836,0.698
Pos17_A,0.777,0.777,0.777
Pos18_A,0.768,0.768,0.768
Pos18_T,0.717,0.719,0.719
Pos19_A,0.486,0.542,0.542
Pos19_T,0.591,0.592,0.592
Pos20_C,0.796,0.815,0.815
Pos20_T,0.263,0.603,0.603
